Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000124114839491346,-0.0113416494902754,0.434727566762114,0,0,0,0.2215251621958,0.000101897481544683,6.91625543372935E-08,-5.14067994671693E-08,0.000173382719946499,8.04509493470393E-06,0.000158922224777981,0,0,0,0,0,0,package://badaya/meshes/base_link.STL,0.886274509803922,0.776470588235294,0.67843137254902,1,0,0,0,0,0,0,package://badaya/meshes/base_link.STL,,body_link-1/BADAN V4 (MX28)-1;body_link-1/XL-320-6;body_link-1/XL-320-2;body_link-1/Scaled Head Servo V2-1;body_link-1/FR-4-2;body_link-1/FR-2-1;body_link-1/XL-320-1;body_link-1/FR-2-2;body_link-1/XL-320-3;body_link-1/FR-4-1;body_link-1/XL-320-4;body_link-1/MX-28-8,global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_link,0.0402135117595245,-0.0022735547509958,0.0289825682297939,0,0,0,0.253025215067274,0.000207131359721091,1.3383380457411E-10,-1.37231708481393E-07,6.88385602261252E-05,-1.27099608046946E-07,0.000198692839118258,0,0,0,0,0,0,package://badaya/meshes/waist_link.STL,0.996078431372549,0.870588235294118,0.76078431372549,1,0,0,0,0,0,0,package://badaya/meshes/waist_link.STL,,waist_link-1/FS-1-1;waist_link-1/4S_1900_80C-1;waist_link-1/HN07-N101 Edited-7,1,Axis1,waist_joint_1,revolute,3.06140374162905E-05,0.0168966972091615,0.372408913427923,1.57077907239086,1.5707963267949,0,base_link,0,0.000978780520884311,-0.999999520994231,3,3,-0.2618,0.55850536,,,,,,,,
hip_link,0.0110096301285457,-1.07762347967555E-05,-0.0226635098061179,0,0,0,0.138823597375586,2.38836273995558E-05,1.41623475234712E-08,-1.82744993681509E-07,3.83538977071312E-05,1.80110311566229E-10,3.15172006085392E-05,0,0,0,0,0,0,package://badaya/meshes/hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://badaya/meshes/hip_link.STL,,hip_link-1/MX-28-6;hip_link-1/FR07-S101-L-6;hip_link-1/FR07-S101-L-5;hip_link-1/MX-28-7;hip_link-1/FR07-S101-L-3;hip_link-1/FR07-S101-L-1;hip_link-1/THRUST_WASHER-6;hip_link-1/THRUST_WASHER-5;hip_link-1/MX-28-5,2.1,Axis2,hip_joint_2,revolute,0.05515,-1.4533E-05,0.01485,1.5713,-1.5708,-1.5713,waist_link,0,0,-1,3,3,-0.2618,0.5236,,,,,,,,
hip_right_link,-0.00422614947955957,1.30363239334019E-05,0.0101024474395421,0,0,0,0.00819925239367431,1.32821149148133E-06,-2.10863541638775E-14,-1.29538092736239E-11,4.79909587455136E-06,3.91751811828721E-12,4.48167530300692E-06,0,0,0,0,0,0,package://badaya/meshes/hip_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://badaya/meshes/hip_right_link.STL,,hip_right_link-1/FR-XM5-01-1;hip_right_link-1/HN07-N101 Edited-1;hip_right_link-1/HN05-i101-1,4,Axis4,hip_right_joint_4,revolute,4.46903999165582E-05,0.0456592438827064,-0.0452,3.14159265358979,0,-0.000978780677142626,hip_link,0,0,1,3,3,-0.41887902,0.34906585,,,,,,,,
hip2_right_link,-0.0152802051528608,0.000300443248466842,-0.00231147744393315,0,0,0,0.190491121315995,4.96584513485555E-05,-1.61906609668244E-07,1.96075652820572E-07,7.60017328225244E-05,4.25333788431949E-09,8.03503917179731E-05,0,0,0,0,0,0,package://badaya/meshes/hip2_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://badaya/meshes/hip2_right_link.STL,,hip2_right_link-1/XM540-W270-1;hip2_right_link-1/FR-XM5-03-1;hip2_right_link-1/XM540-W270-2;hip2_right_link-1/FR13-S101-1;hip2_right_link-1/FR05-F101-4;hip2_right_link-1/MF128ZZ-10;hip2_right_link-1/CAP-9,8,Axis8,hip2_right_joint_8,revolute,0.0259017188345914,1.43556516252474E-05,0.031899632876882,0.000978780673836541,1.5707963267949,0,hip_right_link,0,0.000978780517540149,0.999999520994235,10,3,-0.70686,1.4312,,,,,,,,
knee_right_link,0.0913090349122435,2.80103607640525E-05,-0.0296791212758651,0,0,0,0.0990788181729648,2.89113990326741E-05,-7.6026264174878E-09,-1.06282733195236E-06,4.93830312858525E-05,-2.31023931628725E-09,3.6564094559343E-05,0,0,0,0,0,0,package://badaya/meshes/knee_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://badaya/meshes/knee_right_link.STL,,knee_right_link-1/FR-XM5-02-1;knee_right_link-1/FR05-S101-3;knee_right_link-1/MX-106-5;knee_right_link-1/HN05-i101-4;knee_right_link-1/MF128ZZ-4;knee_right_link-1/CAP-4,6.1,Axis6,knee_right_joint_6,revolute,0,0.029774,-0.026449,1.5718,0,3.1416,hip2_right_link,0,0,-1,10,3,-1.1694,0.29671,,,,,,,,
knee2_right_link,0.00804899987914809,-0.0336820805195894,0.0600831335075141,0,0,0,0.0193582268613659,3.00376034908173E-05,-4.16144017849549E-06,-4.45933068227337E-20,1.54337706515249E-05,-1.37973752415303E-19,2.14370365193726E-05,0,0,0,0,0,0,package://badaya/meshes/knee2_right_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://badaya/meshes/knee2_right_link.STL,,knee2_right_link.SLDASM-1,10,Axis10,knee2_right_joint_10,revolute,0.112829632865214,-0.00128000102779485,0.0306185315075161,3.14159265358978,0,-1.57079581916587,knee_right_link,0,0,-1,10,3,-0.113446401,1.500983155,,,,,,,,
angkle_right_link,-0.0037832350873081,0.0163203907687384,-0.0331964377564581,0,0,0,0.237978786468489,0.000171283046245281,1.07371172497559E-06,-1.06118699691655E-06,0.000105820220556833,-8.74301120392093E-14,0.000168335248057341,0,0,0,0,0,0,package://badaya/meshes/angkle_right_link.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://badaya/meshes/angkle_right_link.STL,,angkle_right_link-1/MX-106-7;angkle_right_link-1/FR05-S101-4;angkle_right_link-1/FR05-F101-2;angkle_right_link-1/HN05-i101-6;angkle_right_link-1/MF128ZZ-5;angkle_right_link-1/CAP-5;angkle_right_link-1/MX-106-8;angkle_right_link-1/MF128ZZ-6;angkle_right_link-1/CAP-6;angkle_right_link-1/HN05-i101-7;foot_right-1/SF106-0 V2-2,12.1,Axis12,angkle_right_joint_12,revolute,-0.00128,-0.095,0.029519,3.1416,0,-1.5708,knee2_right_link,0,0,1,10,3,-0.36652,1.85,,,,,,,,
foot_right_link,0.029264,-0.0078636,0.02291,0,0,0,0.072891,0.00013288,-1.5969E-08,5.1443E-11,0.00010263,-3.5376E-14,3.332E-05,0,0,0,0,0,0,package://badaya/meshes/foot_right_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://badaya/meshes/foot_right_link.STL,,foot_right-1/SF106-0 V2-2;foot_right-1/FR08-H101-S V1-2,14.1,Axis14,foot_right_14,revolute,0,0.0188,-0.0308,1.5708,-0.00052794,0,angkle_right_link,0,0,1,10,3,-0.87266,1.7453,,,,,,,,
hip_left_link,-0.00422616006071602,3.6392684704678E-06,0.0101024507687435,0,0,0,0.00819925239367435,1.32821470046737E-06,-3.33735824871431E-09,-1.47194999802026E-11,4.79909257297121E-06,1.71482639026517E-10,4.48167539560129E-06,0,0,0,0,0,0,package://badaya/meshes/hip_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://badaya/meshes/hip_left_link.STL,,hip_left_link-1/FR-XM5-01-1;hip_left_link-1/HN05-i101-1;hip_left_link-1/HN07-N101 Edited-1,3,Axis3,hip_left_joint_3,revolute,-4.4690399917946E-05,-0.0456592438827054,-0.0452000000000022,3.14106471267909,0,-1.72544040170706E-05,hip_link,0,-0.000527940886170703,0.999999860639201,3,3,-0.130899694,0.76794,,,,,,,,
